link,text,user,date,is_retweet,comments,retweets,quotes,likes,images,video,gifs,topic
https://twitter.com/RyanVoutilainen/status/1668051463463944193#m,Friend Jo working near BC’s biggest #wildfire and second largest in BC history: the #DonnieCreek Fire   (Oh and follow Jo if you aren’t already!)  #BCwildfire #BCwx #BCstorm #ForestFire,Ryan Voutilainen 🇨🇦🇫🇮,"Jun 12, 2023 · 12:23 AM UTC",False,1,1,1,4,,,,#forestfire
https://twitter.com/kim_hair/status/1666877958449922063#m,So this company can make rain when needed. If this can be done why are we not tapping into this technology for the forest fires? #forestfire #firefighter #DougFord #JustinTrudeau https://fb.watch/l1SwxZczTv/?mibextid=6aamW6,Kim,"Jun 8, 2023 · 6:40 PM UTC",False,0,0,0,0,,,,#forestfire
https://twitter.com/johnnybebad666_/status/1666512380442845218#m,⚠️🌫Home in my apartment at the Kira  153-24 90th Rd 9C Queens NY 11432🌫⚠️ I think the Canadian Wildfire smoke is working its way inside structures and buildings decipher the picture #Health #forestfire #FDNY #engineering #HVAC,John Fitzgerald Kennedy Page®,"Jun 7, 2023 · 6:28 PM UTC",False,0,0,0,0,https://pbs.twimg.com/media/FyCkLX1XsAEqUYI.jpg,,,#forestfire
https://twitter.com/RyanVoutilainen/status/1666443110660952064#m,"For those on #VanIsle looking to head to the #PortAlberni/#Tofino or head back, #BChwy4 near #CameronLake east of #CatherdralGrove remains closed due to a #ForestFire…  @DriveBC for all #BChwy closures, etc. Their next update at 9am, 7 June.  #BCwildfire #BCFire",Ryan Voutilainen 🇨🇦🇫🇮,"Jun 7, 2023 · 1:52 PM UTC",False,1,3,1,7,,,,#forestfire
https://twitter.com/RobertBraggs/status/1666273729117028353#m,Can you see the sunspots in the sun? Did you know those very spots can be as large as four times the size of the earth.   #sunspots #sun #haze #canadafire #forestfire #findingrb #gfx100 #gf250,Robert Braggs III,"Jun 7, 2023 · 2:39 AM UTC",False,0,0,0,0,https://pbs.twimg.com/media/Fx_LIFnX0AAg7MO.jpg,,,#forestfire
https://twitter.com/RiddellArchives/status/1666263474102579201#m,Forest fires near #Ottawa 🇨🇦 #Canada sending air quality index at its lowest. Image from my window. The 1st image you can see sunspots. 7:20 pm 6 June 2023 sun setting @weathernetwork #onstorm @NatGeo #smoke #fire #sun #sunset #forestfire #airquality,Andrew Riddell 🇨🇦,"Jun 7, 2023 · 1:59 AM UTC",False,0,0,0,10,https://pbs.twimg.com/media/Fx_BzCVWYAEORsk.jpg,,,#forestfire
https://twitter.com/EmilyFarina5/status/1666140472601870341#m,#forestfire smoke casts a pall over Oakville today. @weathernetwork #WeatherAlert #ClimateActionNow,Emily Farina,"Jun 6, 2023 · 5:50 PM UTC",False,1,0,0,3,https://pbs.twimg.com/media/Fx9R7AzXoAAZ96p.jpg,,,#forestfire
https://twitter.com/land_fisher/status/1666056987744894976#m,"First I thought it was fog, then I thought people had turned on their heat because I could smell wood burning #forestfire #wildfires #ontario #quebec #weather #ottawa",Sharon Land Fisher,"Jun 6, 2023 · 12:18 PM UTC",False,1,2,0,2,https://pbs.twimg.com/media/Fx8F_u8XsAA95-z.jpg,,,#forestfire
https://twitter.com/KatherineDines/status/1665720085917343747#m,If you’re wondering why it’s so hazy in Ottawa… 🔥  Forest fire at Centennial Lake near Calabogie!   #Ottawa #ForestFire,Katherine Dines,"Jun 5, 2023 · 1:59 PM UTC",False,11,21,3,54,,,,#forestfire
https://twitter.com/NorthernBruceFD/status/1664963208291971074#m,#NBPFD has received multiple reports of a possible #ForestFire in the #LionsHead area on both shorelines. It has been determined that the smoke being seen is fog and the smell of smoke is from #Wildfires in Northern Ontario & Western Canada. #NorthernBrucePeninsula #FireSafety,Northern Bruce Peninsula Fire & Emergency Services,"Jun 3, 2023 · 11:52 AM UTC",False,0,3,0,7,https://pbs.twimg.com/media/FxsjNOYWwAgTD5L.jpg,,,#forestfire
https://twitter.com/WoahVinnie/status/1663688653380673536#m,Smoke from Canada 🇨🇦 Its crazy how dense it is. The smell to is pretty wild! #ForestFire #NovaScotia #NovaScotiaFires,WoahVinnie,"May 30, 2023 · 11:27 PM UTC",False,0,0,0,0,https://pbs.twimg.com/media/FxacARNWYAA5EGR.jpg,,,#forestfire
https://twitter.com/TashaLeeAndCrew/status/1660667613960355841#m,Lake that I REALLY wish I could remember the name of in Jasper National Park on a smoky day in the mountains.  #forestfire #smoke #beautiful #lake #trees #valley,Tasha Lee,"May 22, 2023 · 3:23 PM UTC",False,0,0,0,0,https://pbs.twimg.com/media/FwvgZG5aQAAazmE.jpg,,,#forestfire
https://twitter.com/leaferi/status/1659481348049113088#m,Washington State Smoke Information —  helpful site I wish I didn’t feel ought share.🌲🌲🔥🌲  https://wasmoke.blogspot.com/?m=1 #PNW #Seattle #Shoreline #Edmonds #ClimateChange #Smoke #ForestFire #SmokeSeason,Kirsten L. Schneider (blue-check because lazy),"May 19, 2023 · 8:49 AM UTC",False,0,0,0,0,,,,#forestfire
https://twitter.com/paddlenwave/status/1658630992163393536#m,You can taste the air.   #yyc #forestfire,paddlenwave 🍁🛶🏞 (she/ her),"May 17, 2023 · 12:30 AM UTC",False,0,0,0,0,https://pbs.twimg.com/media/FwSkGQXagAA9244.jpg,,,#forestfire
https://twitter.com/jarvispelletier/status/1658625163955683328#m,Dusty...now smokey #forestfire #sask,Jarvi,"May 17, 2023 · 12:07 AM UTC",False,0,0,0,1,https://pbs.twimg.com/media/FwSeyj4WwAEb0Gr.jpg,,,#forestfire
https://twitter.com/geekchef/status/1658475744220295168#m,"Not only can you see the #smoke here, you can smell it! #goodmorning from the shores of the Red River.   #forestfire #manitoba #winnipeg #sunrise #photography #urban",Pat Murphy 🇨🇦 🇺🇦 🐕,"May 16, 2023 · 2:13 PM UTC",False,0,3,0,16,https://pbs.twimg.com/media/FwQW5KraYAEEVJv.jpg,,,#forestfire
https://twitter.com/tjkennedyphoto/status/1656416057849188353#m,Alberta Wildfires in Photos    https://invidious.no-logs.com/dXBIXsNVPdQ #ABWildfire #abwildfires #forestfire #photographypodcast #youtubepodcasts #exposuretherapy,T.J. Kennedy - Alberta's Conservative Creative,"May 10, 2023 · 9:48 PM UTC",False,0,1,0,0,,,,#forestfire
https://twitter.com/tjkennedyphoto/status/1654729917509271552#m,"Wildfire southeast of Sturgeon Lake in Alberta, Canada on Fri. May 5th, 2023.  Alberta has fires all over the province today.  This is the view from Valleyview.  #alberta #ABwildfire #sturgeonlake #canada #forestfire #ABstorm @ABDanielleSmith",T.J. Kennedy - Alberta's Conservative Creative,"May 6, 2023 · 6:08 AM UTC",False,6,14,3,35,,https://video.twimg.com/ext_tw_video/1654729602999418881/pu/vid/1280x720/VO_sTb5Z5BwQh8gw.mp4?tag=12,,#forestfire
https://twitter.com/TruckeeFire/status/1648750068164612096#m,We are releasing up to $1 million to the community to support enhanced forest management & wildfire risk mitigation projects this year thanks to Measure T funding. Help us spread the word & keep our community #FIRESAFE #nature #smoke #forestfire #wildlandfire #californiafires,Truckee Fire,"Apr 19, 2023 · 6:07 PM UTC",False,0,0,0,1,,,,#forestfire
